	match_url	date	score	home	guests	winner	home_goals	guests_goals
680	https://ru.corner-stats.com/spartak-nalchik-rostov-11-09-2011/premier-league-russia/match/17763	11/09/11	0 : 1	спартак-нальчик	 ростов 	guests	0	1
681	https://ru.corner-stats.com/amkar-perm-spartak-m-11-09-2011/premier-league-russia/match/17318	11/09/11	0 : 1	 амкар 	 спартак 	guests	0	1
682	https://ru.corner-stats.com/krasnodar-rubin-kazan-10-09-2011/premier-league-russia/match/17373	10/09/11	3 : 1	 краснодар 	 рубин 	home	3	1
683	https://ru.corner-stats.com/lokomotiv-m-zenit-st-petersburg-10-09-2011/premier-league-russia/match/17158	10/09/11	4 : 2	 локомотив 	 зенит 	home	4	2
684	https://ru.corner-stats.com/cska-moscow-dinamo-moscow-10-09-2011/premier-league-russia/match/17077	10/09/11	0 : 4	 цска 	 динамо москва 	guests	0	4
685	https://ru.corner-stats.com/kuban-krasnodar-lokomotiv-m-28-08-2011/premier-league-russia/match/17157	28/08/11	0 : 1	 кубань 	 локомотив 	guests	0	1
686	https://ru.corner-stats.com/spartak-m-cska-moscow-28-08-2011/premier-league-russia/match/17076	28/08/11	2 : 2	 спартак 	 цска 	nobody	2	2
687	https://ru.corner-stats.com/rubin-kazan-krylya-samara-28-08-2011/premier-league-russia/match/17372	28/08/11	1 : 0	 рубин 	 крылья советов 	home	1	0
688	https://ru.corner-stats.com/zenit-st-petersburg-krasnodar-28-08-2011/premier-league-russia/match/17435	28/08/11	5 : 0	 зенит 	 краснодар 	home	5	0
689	https://ru.corner-stats.com/dinamo-moscow-spartak-nalchik-28-08-2011/premier-league-russia/match/17802	28/08/11	2 : 0	 динамо москва 	спартак-нальчик	home	2	0
